variant,transmission,km_driven,owner_type,fuel_type,registeration,price,year_launch,company_name,model_name
ALPHA 1.4 PETROL,Manual,79277,2nd Owner,Petrol,DL-6C,636000,2017,Maruti,CIAZ
RXZ AT,Automatic,16093,1st Owner,Petrol,UP-32,708000,2020,Renault,TRIBER
HIGHLINE PLUS 1.2L PETROL,Manual,30398,1st Owner,Petrol,DL-2C,623000,2017,Volkswagen,Polo
ASTA AT 1.2 KAPPA VTVT,Automatic,32744,1st Owner,Petrol,DL-12,502000,2015,HYUNDAI,GRAND
HIGHLINE PLUS 1.2L PETROL,Manual,18913,1st Owner,Petrol,DL-10,627000,2018,Volkswagen,Polo
XZ PLUS PETROL,Manual,53126,1st Owner,Petrol,HR-72,492000,2019,Tata,Tiago
LXI,Manual,24884,1st Owner,Petrol,UP-14,153000,2010,Maruti,Alto
VXI PLUS,Manual,47014,2nd Owner,Petrol,DL-2C,614000,2016,Maruti,Ciaz
HTX 1.5 DIESEL,Manual,60147,1st Owner,Diesel,DL-4C,1357000,2021,KIA,SELTOS
1.6 VTVT SX (O) AT,Automatic,95153,2nd Owner,Petrol,HR-26,881000,2017,HYUNDAI,VERNA
XZA 1.2 REVOTRON,Automatic,53852,1st Owner,Petrol,DL-3C,511000,2018,TATA,TIAGO
LX HT PETROL 4WD MT,Manual,6089,1st Owner,Petrol,DL-10,1476000,2021,Mahindra,Thar
LXI CNG,Manual,58419,1st Owner,CNG,HR-29,312000,2014,Maruti,Wagon
S 1.2,Manual,74909,1st Owner,Petrol,UP-13,728000,2020,HYUNDAI,VENUE
E PLUS 1.6 PETROL,Manual,28028,1st Owner,Petrol,DL-12,925000,2017,Hyundai,Creta
SHARP DCT PETROL,Automatic,34505,1st Owner,Petrol,UP-16,1573000,2020,MG,HECTOR
VX CVT PETROL,Automatic,26230,2nd Owner,Petrol,UP-14,1147000,2020,Honda,City
SV CVT PETROL,Automatic,53566,1st Owner,Petrol,DL-4C,653000,2015,HONDA,CITY
ZETA PETROL 1.2,Manual,26354,2nd Owner,CNG,DL-5C,736000,2020,Maruti,Baleno
ZXI 1.2 BS IV,Manual,13470,1st Owner,Petrol,DL-5C,509000,2016,Maruti,Swift
S MT PETROL,Manual,2,2nd Owner,Petrol,HR-26,315000,2011,Honda,City
ZXI,Manual,40183,2nd Owner,Petrol,HR-26,525000,2017,Maruti,Swift
V MT PETROL,Manual,19038,1st Owner,Petrol,DL-3C,794000,2017,Honda,City
XM 1.2,Manual,50331,2nd Owner,CNG,DL-3C,696000,2019,Tata,NEXON
1.5L I-DTEC S,Manual,45360,2nd Owner,Diesel,HR-30,366000,2015,Honda,Amaze
1.2L I-VTEC E,Manual,20752,1st Owner,Petrol,DL-4C,608000,2019,HONDA,AMAZE
Varicor 400 XMA,Automatic,76644,1st Owner,Diesel,DL-7C,980000,2018,TATA,HEXA
1.2L I-VTEC VX,Manual,39936,1st Owner,Petrol,HR-26,392000,2014,Honda,Amaze
