variant,transmission,km_driven,owner_type,fuel_type,registeration,price,year_launch,company_name,model_name
ALPHA PETROL 1.2,Manual,10393,1st Owner,Petrol,DL-9C,777000,2020,Maruti,BALENO
VXI,Manual,84447,1st Owner,Petrol,DL-8C,412000,2014,Maruti,SWIFT
VXI,Manual,44546,1st Owner,Petrol,DL-5C,683000,2019,Maruti,Dzire
V MT PETROL,Manual,39749,1st Owner,Petrol,HR-26,753000,2017,Honda,City
VDI,Manual,58894,1st Owner,Diesel,DL-3C,777000,2019,Maruti,Vitara
	T+ CNG,Manual,13444,1st Owner,CNG,DL-11,704000,2022,HYUNDAI,XCENT
VX MT PETROL,Manual,7802,1st Owner,Petrol,HR-26,1152000,2020,HONDA,CITY
ZETA PETROL 1.2,Manual,22982,2nd Owner,Petrol,DL-5C,686000,2020,Maruti,Baleno
VXI,Manual,78930,1st Owner,Petrol,DL-8C,223000,2011,Maruti,WAGON
S MT PETROL,Manual,45073,1st Owner,Petrol,HR-26,427000,2012,HONDA,CITY
ZDI PLUS AMT,Automatic,57643,1st Owner,Diesel,DL-12,857000,2018,Maruti,Vitara
LXI,Manual,21693,1st Owner,Petrol,DL-2C,560000,2019,Maruti,Swift
ALPHA 1.2 AMT,Automatic,52777,1st Owner,Petrol,UP-16,603000,2018,Maruti,IGNIS
VXI,Manual,8658,1st Owner,Petrol,DL-6C,345000,2012,Maruti,Swift
ZXI CNG,Manual,6505,1st Owner,CNG,HR-29,946000,2022,Maruti,Dzire
DELTA PETROL 1.2,Manual,23735,1st Owner,Petrol,HR-35,626000,2020,Maruti,Baleno
1.2 SPORTS PLUS VTVT,Manual,28450,1st Owner,Petrol,UP-70,724000,2019,Hyundai,Elite
ZXI,Manual,49939,2nd Owner,Petrol,HR-26,379000,2015,Maruti,Celerio
DELTA PETROL 1.2,Manual,31853,1st Owner,Petrol,HR-12,669000,2020,Maruti,Baleno
LXI CNG,Manual,23705,1st Owner,CNG,DL-2C,592000,2020,Maruti,New
ZDI,Manual,48230,1st Owner,Diesel,DL-9C,797000,2019,Maruti,Vitara
LXI,Manual,25394,1st Owner,Petrol,DL-2C,570000,2019,Maruti,Swift
RXZ DIESEL 110,Manual,83253,1st Owner,Diesel,UP-14,740000,2018,RENAULT,DUSTER
ZXI,Manual,27073,1st Owner,Petrol,UP-78,938000,2021,Maruti,Vitara
RXZ MT DUAL TONE,Manual,6844,1st Owner,Petrol,HR-13,841000,2022,Renault,TRIBER
ZDI AMT,Automatic,26727,1st Owner,Diesel,UP-32,927000,2019,Maruti,VITARA
ZETA PETROL 1.2,Manual,3723,1st Owner,Petrol,HR-26,756000,2021,Maruti,Baleno
ZDI AMT,Automatic,56107,1st Owner,Diesel,HR-26,806000,2019,Maruti,Vitara
RXZ 1.0 Easy R Petrol,Automatic,8383,1st Owner,Petrol,DL-3C,850000,2021,Renault,Kiger
ZDI,Manual,23595,2nd Owner,Diesel,UP-15,862000,2019,Maruti,Vitara
SPORTZ 1.2 VTVT,Manual,65518,1st Owner,Petrol,UP-14,442000,2014,Hyundai,i20
VXI,Manual,39093,1st Owner,Petrol,DL-12,186000,2011,Maruti,Alto
1.0 Lxi (o) cng,Manual,11646,1st Owner,CNG,DL-14,608000,2021,Maruti,New
VXI,Manual,55674,1st Owner,Petrol,DL-9C,438000,2015,Maruti,Swift
RXZ CVT 1.3 TURBO,Automatic,10831,1st Owner,Petrol,DL-7C,1370000,2021,Renault,Duster
VXI,Manual,53238,1st Owner,Petrol,UP-16,818000,2020,Maruti,Vitara
1.2L I-VTEC VX CVT,Automatic,12379,1st Owner,Petrol,UP-14,1011000,2022,Honda,Amaze
LXI,Manual,16820,1st Owner,Petrol,DL-5C,566000,2019,Maruti,Swift
1.0 S AT,Automatic,72230,2nd Owner,Petrol,HR-06,330000,2018,DATSUN,REDI
ALPHA 1.4 VVT AMT,Automatic,60653,1st Owner,Petrol,DL-8C,878000,2018,Maruti,Ciaz
DELTA PETROL 1.2,Manual,48397,2nd Owner,Petrol,DL-8C,607000,2019,Maruti,Baleno
1.5L I-VTEC VX CVT,Automatic,32005,1st Owner,Petrol,DL-7C,1173000,2020,HONDA,CITY
XZ PLUS 1.2 REVOTRON,Manual,7268,1st Owner,Petrol,UP-14,770000,2021,TATA,TIGOR
DELTA PETROL 1.2,Manual,32550,2nd Owner,Petrol,DL-10,552000,2017,Maruti,BALENO
VX MT PETROL,Manual,16320,1st Owner,Petrol,DL-9C,1092000,2020,Honda,City
GTX PLUS 1.5D  AT,Automatic,39565,1st Owner,Diesel,UP-16,1329000,2021,KIA,SONET
1.5L I-VTEC ZX CVT,Automatic,36609,1st Owner,Petrol,HR-26,1125000,2019,HONDA,CITY
XZA PLUS,Automatic,7788,1st Owner,Diesel,HR-51,2096000,2022,Tata,Harrier
ZETA PETROL 1.2,Manual,10401,1st Owner,Petrol,HR-29,764000,2021,Maruti,Baleno
ALPHA 1.2 AMT,Automatic,10723,2nd Owner,Petrol,DL-8C,689000,2020,Maruti,IGNIS
DELTA PETROL 1.2,Manual,16017,1st Owner,Petrol,UP-14,687000,2021,Maruti,BALENO
TREND 1.5L PETROL,Manual,58538,1st Owner,Petrol,UP-32,604000,2017,Ford,Ecosport
1.2 i-VTEC VX MT,Manual,12724,2nd Owner,Petrol,HR-26,803000,2018,Honda,WR-V
SX 1.0 TURBO,Manual,40530,1st Owner,Petrol,DL-10,980000,2019,HYUNDAI,VENUE
VXI,Manual,18344,1st Owner,Petrol,HR-49,347000,2020,Maruti,ALTO
1.2 VX AT,Automatic,8652,2nd Owner,Petrol,HR-26,769000,2019,Honda,Jazz
Magna 1.2 AT  VTVT,Automatic,42133,1st Owner,Petrol,DL-4C,527000,2017,Hyundai,Grand
1.5L I-VTEC ZX CVT,Automatic,9438,1st Owner,Petrol,HR-51,1531000,2021,Honda,City
VDI,Manual,28565,1st Owner,Diesel,HR-51,747000,2018,Maruti,Vitara
ZDI,Manual,48414,1st Owner,Diesel,UP-14,843000,2019,Maruti,Vitara
ZDI,Manual,91240,1st Owner,Diesel,UP-16,746000,2018,Maruti,Vitara
RXL,Manual,9258,2nd Owner,Petrol,DL-3C,351000,2019,Renault,Kwid
VXI AMT,Automatic,29043,2nd Owner,Petrol,HR-26,581000,2018,Maruti,Swift
AMBIENTE 1.5L DIESEL,Manual,24931,1st Owner,Diesel,DL-7C,708000,2018,FORD,ECOSPORT
SPORTZ MT,Manual,60207,1st Owner,Petrol,UP-14,451000,2019,Hyundai,NEW
S 1.2 CNG,Manual,28942,2nd Owner,CNG,UP-14,748000,2020,HYUNDAI,AURA
VDI,Manual,29480,1st Owner,Diesel,DL-1C,809000,2019,Maruti,Vitara
1.0 RXT Opt,Manual,25977,1st Owner,Petrol,HR-26,387000,2019,Renault,Kwid
CLIMBER 1.0 AT,Automatic,8786,1st Owner,Petrol,DL-12,601000,2022,Renault,Kwid
ZXI Plus AMT,Automatic,20250,2nd Owner,Petrol,HR-26,796000,2021,Maruti,Dzire
RXS 106 PS MT,Manual,47944,1st Owner,Petrol,DL-7C,855000,2019,Renault,Duster
XZA PLUS PETROL,Automatic,28345,1st Owner,CNG,UP-14,1005000,2019,Tata,NEXON
LX  4WD AT CONVERTIBLE,Automatic,17524,1st Owner,Petrol,UP-11,1467000,2021,Mahindra,Thar
DELTA PETROL 1.2,Manual,57155,2nd Owner,Petrol,DL-1C,511000,2016,Maruti,Baleno
ZXI AMT,Automatic,45936,1st Owner,Petrol,DL-14,429000,2016,Maruti,Celerio
XMA PETROL,Automatic,9759,1st Owner,Petrol,DL-11,709000,2021,TATA,TIGOR
ZDI + AMT,Automatic,98394,1st Owner,Diesel,HR-26,816000,2018,Maruti,Vitara
VDI,Manual,68282,2nd Owner,Diesel,HR-26,679000,2019,Maruti,VITARA
S 1.2 CNG,Manual,38891,1st Owner,CNG,DL-9C,777000,2021,HYUNDAI,AURA
RXT 1.0 AMT (O),Automatic,28118,1st Owner,Petrol,UP-14,493000,2021,RENAULT,KWID
VDI,Manual,71386,1st Owner,Diesel,HR-26,758000,2019,Maruti,Vitara
VXI,Manual,7570,2nd Owner,Petrol,DL-8C,410000,2020,Maruti,S
ASTA 1.2,Manual,47284,1st Owner,Petrol,UP-14,585000,2016,HYUNDAI,ELITE
ZETA 1.2 AMT DUAL TONE,Automatic,29406,2nd Owner,Petrol,HR-10,537000,2017,Maruti,IGNIS
1.2 S MT I VTEC,Manual,97470,1st Owner,Petrol,DL-3C,298000,2013,Honda,Brio
1.6 S,Manual,62690,2nd Owner,Petrol,DL-1C,778000,2015,Hyundai,Creta
XZ PLUS 2.0L DARK EDITION,Manual,45425,1st Owner,Diesel,DL-11,1816000,2021,Tata,Harrier
ASTA AT 1.2 KAPPA VTVT,Automatic,69180,1st Owner,Petrol,DL-3C,476000,2015,Hyundai,Grand
ZDI,Manual,40605,1st Owner,Diesel,DL-3C,779000,2018,Maruti,Vitara
CLIMBER 1.0 AT,Automatic,15801,1st Owner,Petrol,DL-12,617000,2022,Renault,Kwid
LXI,Manual,14803,1st Owner,Petrol,DL-8C,589000,2021,Maruti,SWIFT
ZETA CVT PETROL 1.2,Automatic,39076,1st Owner,Petrol,HR-26,786000,2020,Maruti,BALENO
RXT 1.0 EASY-R AT OPTION,Automatic,18781,2nd Owner,Petrol,DL-3C,418000,2019,Renault,Kwid
GTX+ 1.4 MT,Manual,6003,1st Owner,Petrol,HR-26,1620000,2020,KIA,SELTOS
1.2L I-VTEC S MT,Manual,64889,1st Owner,Petrol,UP-32,642000,2017,HONDA,WR-V
1.2 S,Manual,72488,1st Owner,Petrol,UP-80,563000,2016,HYUNDAI,I20
DELTA PETROL 1.2,Manual,29414,2nd Owner,Petrol,HR-87,584000,2019,Maruti,Baleno
VXI AMT,Automatic,36682,1st Owner,CNG,UP-32,721000,2019,Maruti,SWIFT
ZDI PLUS AMT,Automatic,50481,1st Owner,Diesel,HR-26,861000,2018,Maruti,Vitara
VDI OPT,Manual,43109,1st Owner,Diesel,DL-3C,749000,2018,Maruti,Vitara
VXI,Manual,26925,1st Owner,Petrol,DL-3C,654000,2019,Maruti,DZIRE
LXI,Manual,20754,1st Owner,Petrol,DL-1C,309000,2018,Maruti,ALTO
LXI CNG 1.0 L,Manual,63997,1st Owner,CNG,DL-2C,558000,2020,Maruti,New
ZDI + AMT,Automatic,34843,1st Owner,Diesel,DL-2C,949000,2018,Maruti,Vitara
HIGH GRADE MT,Manual,8216,1st Owner,Petrol,HR-98,1019000,2022,TOYOTA,URBAN
XZ MT,Manual,18867,1st Owner,Petrol,DL-9C,694000,2022,Tata,TIAGO
1.2 V MT I-VTEC,Manual,43985,1st Owner,Petrol,DL-1C,616000,2018,Honda,Amaze
VXI AMT,Automatic,28076,2nd Owner,Petrol,HR-51,463000,2018,Maruti,Wagon
LXI,Manual,25872,1st Owner,Petrol,UP-16,330000,2018,Maruti,ALTO
1.5L I-VTEC V MT,Manual,83926,1st Owner,Petrol,UP-14,716700,2017,Honda,City
VXI,Manual,83261,1st Owner,Petrol,DL-12,337000,2012,Maruti,SWIFT
SX PLUS 1.2 AMT,Automatic,41027,1st Owner,Petrol,HR-36,816000,2020,HYUNDAI,AURA
ZDI AMT,Automatic,31785,1st Owner,Diesel,DL-8C,886000,2019,Maruti,Vitara
RXZ 1.0 TURBO MT,Manual,17632,1st Owner,Petrol,UP-62,906000,2021,Renault,Kiger
ZETA PETROL 1.2,Manual,19124,1st Owner,Petrol,HR-26,721000,2019,Maruti,Baleno
DELTA PETROL 1.2,Manual,67985,1st Owner,Petrol,HR-29,520000,2016,Maruti,Baleno
ASTA (O) 1.2 MT,Manual,13811,1st Owner,Petrol,HR-26,918000,2021,Hyundai,NEW
MAGNA AT 1.2 KAPPA VTVT,Automatic,40993,1st Owner,Petrol,DL-8C,522000,2017,Hyundai,Grand
LXI,Manual,31810,1st Owner,Petrol,UP-14,269000,2016,Maruti,Alto
T (O),Manual,33936,1st Owner,Petrol,HR-30,293000,2018,Datsun,Redi
MAGNA AMT,Automatic,7595,1st Owner,Petrol,DL-12,541000,2018,Hyundai,NEW
VXI AMT,Automatic,32330,1st Owner,Petrol,HR-52,488000,2018,Maruti,Wagon
1.2L I-VTEC V CVT,Automatic,17143,1st Owner,Petrol,DL-1C,832000,2019,HONDA,AMAZE
LXI CNG 1.0 L,Manual,34090,1st Owner,CNG,HR-76,552000,2020,Maruti,New
A,Manual,37928,2nd Owner,Petrol,UP-14,298000,2019,Datsun,Redi
SPORTZ AT 1.2 KAPPA VTVT,Manual,35366,1st Owner,Petrol,UP-16,577000,2017,Hyundai,Grand
LXI,Manual,12582,1st Owner,Petrol,DL-4C,566000,2019,Maruti,SWIFT
VXI,Manual,28254,1st Owner,Petrol,DL-9C,334000,2017,Maruti,ALTO
1.2 SPORTS PLUS VTVT,Manual,78183,1st Owner,Petrol,DL-1C,719000,2019,Hyundai,ELITE
ZETA PETROL 1.2,Manual,23849,1st Owner,Petrol,HR-26,777000,2020,Maruti,Baleno
1.5 i-DTEC VX MT,Manual,59946,1st Owner,Diesel,HR-10,928000,2020,Honda,WR-V
1.2 SV MT,Manual,71967,1st Owner,Petrol,DL-3C,461000,2016,Honda,Jazz
RXZ CVT 1.0 TURBO DUAL TONE,Automatic,9980,1st Owner,Petrol,HR-51,986000,2021,Renault,Kiger
LXI CNG 1.0,Manual,75415,1st Owner,CNG,DL-8C,522000,2020,Maruti,New
DELTA PETROL 1.2,Manual,94624,1st Owner,Petrol,HR-26,550000,2018,Maruti,Baleno
DELTA 1.2 K12,Manual,12662,1st Owner,Petrol,HR-36,683000,2020,Maruti,BALENO
1.0 Lxi (o) cng,Manual,33883,1st Owner,CNG,DL-11,594000,2021,Maruti,New
LXI,Manual,53804,1st Owner,Petrol,DL-2C,316000,2018,Maruti,ALTO
XZ 1.2,Manual,15122,1st Owner,Petrol,DL-11,776000,2020,Tata,ALTROZ
1.2 W6 AT,Automatic,25852,1st Owner,Petrol,DL-3C,1088000,2021,Mahindra,XUV
VXI,Manual,20981,1st Owner,Petrol,DL-3C,712000,2019,Maruti,Dzire
ZETA PETROL 1.2,Manual,56679,2nd Owner,Petrol,HR-19,597000,2019,Maruti,Baleno
XMA PETROL,Automatic,38643,1st Owner,Petrol,DL-12,797000,2019,TATA,NEXON
ZDI + AMT,Automatic,16508,2nd Owner,Diesel,HR-51,854000,2018,Maruti,Vitara
VXI,Manual,31812,1st Owner,Petrol,DL-1C,696000,2019,Maruti,Dzire
RXZ CVT 1.0 TURBO,Automatic,12944,1st Owner,Petrol,DL-3C,1116000,2021,Renault,Kiger
W6 1.2 PETROL,Manual,5488,1st Owner,Petrol,DL-12,1078000,2021,MAHINDRA,XUV
LXI CNG 1.0 L,Manual,39788,1st Owner,CNG,DL-1C,542000,2019,Maruti,New
1.0 RXZ,Manual,10510,1st Owner,Petrol,UP-16,739000,2021,Renault,TRIBER
1.0 RXZ,Manual,3133,1st Owner,Petrol,DL-12,826000,2022,Renault,TRIBER
DELTA PETROL 1.2,Manual,19859,1st Owner,Petrol,UP-16,651000,2019,Maruti,Baleno
ZDI,Manual,38748,1st Owner,Diesel,DL-1C,800000,2018,Maruti,VITARA
1.2L I-VTEC VX MT,Manual,36793,1st Owner,Petrol,HR-51,817000,2018,Honda,WR-V
W8 1.2 PETROL,Manual,16166,1st Owner,Petrol,HR-26,980000,2020,Mahindra,XUV
LXI,Manual,30029,1st Owner,Petrol,HR-23,221000,2012,Maruti,Alto
1.5L I-VTEC ZX CVT,Automatic,85889,1st Owner,Petrol,UP-14,1135000,2019,HONDA,CITY
TITANIUM 1.5L PETROL,Manual,69170,1st Owner,Petrol,HR-26,752000,2018,Ford,Ecosport
XZ 1.2,Manual,17185,1st Owner,Petrol,DL-9C,744000,2020,Tata,ALTROZ
LXI,Manual,41768,1st Owner,Petrol,UP-14,337000,2018,Maruti,ALTO
LXI OPT,Manual,29147,1st Owner,Petrol,DL-3C,394250,2021,Maruti,Alto
VX,Manual,57187,1st Owner,Petrol,DL-4C,310000,2011,Toyota,Etios
SPORTZ EXECUTIVE CNG,Manual,32139,1st Owner,CNG,DL-7C,586000,2021,Hyundai,NEW
1.2 V MT,Manual,29074,2nd Owner,Petrol,DL-4C,512000,2015,HONDA,JAZZ
VXI,Manual,56705,1st Owner,Petrol,HR-26,334000,2013,Maruti,Swift
V MT PETROL,Manual,93095,1st Owner,Petrol,HR-26,743000,2017,Honda,City
ALPHA 1.5 SHVS PETROL,Manual,53019,1st Owner,Petrol,HR-26,884000,2018,Maruti,CIAZ
LXI,Manual,28543,1st Owner,Petrol,HR-26,561000,2019,Maruti,Swift
1.0 RXT Opt,Manual,11264,1st Owner,Petrol,UP-78,461000,2019,Renault,Kwid
V MT PETROL,Manual,59084,1st Owner,Petrol,HR-10,747000,2017,Honda,City
LXI CNG 1.0 L,Manual,73939,1st Owner,CNG,DL-14,526000,2020,Maruti,New
1.2 VX CVT I VTEC,Automatic,78148,1st Owner,Petrol,DL-9C,501000,2015,Honda,Amaze
RXS 106 PS MT,Manual,43395,1st Owner,Petrol,DL-3C,870000,2019,Renault,Duster
MAGNA EXECUTIVE CNG,Manual,32179,1st Owner,CNG,DL-8C,632000,2020,Hyundai,NEW
ZETA PETROL 1.2,Manual,14233,1st Owner,Petrol,HR-51,740000,2020,Maruti,Baleno
LX HT PETROL 4WD MT,Manual,27763,1st Owner,Petrol,HR-42,1505000,2021,MAHINDRA,THAR
SPORTZ 1.2 KAPPA VTVT CNG,Manual,17428,1st Owner,CNG,DL-7C,804000,2022,HYUNDAI,GRAND
SX PLUS 1.0 TURBO DCT,Automatic,67033,1st Owner,Petrol,HR-26,1011000,2019,Hyundai,VENUE
1.1 SPORTZ MT CNG,Manual,36627,1st Owner,CNG,DL-7C,555000,2019,Hyundai,NEW
LXI CNG 1.0 L,Manual,40242,1st Owner,CNG,DL-12,549000,2020,Maruti,New
SPORTZ 1.2 AT KAPPA2,Automatic,70958,1st Owner,Petrol,DL-3C,270000,2011,Hyundai,i10
ASTA 1.2 KAPPA VTVT,Manual,53734,1st Owner,Petrol,UP-14,433000,2015,Hyundai,GRAND
LXI CNG 1.0 L,Manual,48251,1st Owner,CNG,DL-8C,571250,2019,Maruti,New
LX D 4*4 MT HT,Manual,8222,1st Owner,Diesel,DL-8C,1609000,2021,Mahindra,Thar
MAGNA 1.2 VTVT,Manual,20971,1st Owner,Petrol,DL-9C,519000,2018,Hyundai,Grand
SPORTZ EXECUTIVE MT CNG,Manual,54826,1st Owner,CNG,DL-9C,579000,2021,Hyundai,NEW
K8 6 STR,Manual,26967,1st Owner,Petrol,DL-8C,653000,2020,Mahindra,KUV
LX D 4*4 MT HT,Manual,7723,1st Owner,Diesel,HR-26,1604000,2021,MAHINDRA,THAR
ZDI PLUS AMT,Automatic,36296,1st Owner,Diesel,HR-10,868000,2018,Maruti,Vitara
1.5 i-DTEC VX MT,Manual,33770,1st Owner,Diesel,HR-26,1211000,2021,Honda,WR-V
DELTA 1.4 VVT AMT,Automatic,27530,1st Owner,Petrol,DL-1C,915000,2018,Maruti,CIAZ
VXI,Manual,22766,1st Owner,Petrol,DL-12,633000,2017,Maruti,Dzire
LXI,Manual,85032,1st Owner,Petrol,DL-2C,301000,2012,Maruti,SWIFT
LXI CNG (O) 1.0,Manual,63818,1st Owner,CNG,HR-26,558000,2021,Maruti,New
ALPHA 1.4 VVT AMT,Automatic,26218,1st Owner,Petrol,HR-26,890000,2018,Maruti,Ciaz
LX PETROL HT 4WD AT,Automatic,5145,1st Owner,Petrol,DL-12,1654000,2021,Mahindra,Thar
MAGNA AT 1.2 KAPPA VTVT,Automatic,63382,1st Owner,Petrol,DL-8C,465000,2016,Hyundai,Grand
DELTA PETROL 1.2,Manual,33839,1st Owner,Petrol,UP-16,696000,2021,Maruti,Baleno
ASTA 1.2 AT VTVT,Automatic,34900,2nd Owner,Petrol,DL-4C,481000,2015,HYUNDAI,GRAND
RXZ 1.0 MT,Manual,15991,1st Owner,Petrol,DL-3C,876000,2021,Renault,Kiger
SPORTZ MT,Manual,26239,1st Owner,Petrol,UP-32,485000,2018,HYUNDAI,NEW
MAGNA 1.2 VTVT,Manual,65155,1st Owner,CNG,HR-26,484000,2018,Hyundai,Grand
MAGNA 1.2 KAPPA VTVT,Manual,43762,1st Owner,CNG,HR-83,513000,2018,Hyundai,Grand
1.5 TITANIUM SIGNATURE TI VCT (SUNROOF),Manual,34393,2nd Owner,CNG,HR-26,935000,2018,Ford,Ecosport
1.0 RXT Opt,Manual,16177,1st Owner,Petrol,DL-9C,450000,2019,Renault,Kwid
LXI CNG 1.0 L,Manual,56074,1st Owner,CNG,HR-30,546000,2021,Maruti,New
RXZ CVT 1.0 TURBO,Automatic,17191,1st Owner,Petrol,DL-3C,999000,2021,RENAULT,Kiger
RXZ CVT 1.3 TURBO,Automatic,10333,1st Owner,Petrol,HR-36,1365000,2021,Renault,Duster
LXI OPT,Manual,47934,1st Owner,Petrol,DL-2C,440000,2016,Maruti,Swift
ZETA 1.2 AMT,Automatic,39181,2nd Owner,Petrol,HR-29,546000,2017,Maruti,IGNIS
ZETA 1.5 SHVS MT PETROL,Manual,17178,1st Owner,Petrol,DL-8C,962000,2021,Maruti,Ciaz
T (O),Manual,30224,1st Owner,Petrol,DL-8C,304000,2018,Datsun,Redi
VXI AMT,Automatic,16554,1st Owner,Petrol,DL-1C,657000,2018,Maruti,Swift
XZ PLUS 1.2 REVOTRON,Manual,18102,1st Owner,Petrol,HR-51,685000,2020,Tata,TIGOR
XZ 1.2,Manual,23776,1st Owner,Petrol,DL-9C,749000,2020,Tata,ALTROZ
RXZ 1.0 TURBO MT DUAL TONE,Manual,6835,1st Owner,Petrol,UP-14,948000,2021,Renault,Kiger
1.5L I-VTEC SV,Manual,26285,1st Owner,Petrol,DL-3C,607000,2014,Honda,City
LXI,Manual,25026,1st Owner,Petrol,DL-5C,315000,2018,Maruti,Alto
LXI CNG,Manual,28914,1st Owner,CNG,UP-14,493000,2021,Maruti,ALTO
XZA+  KRYOTEC,Automatic,16533,1st Owner,Diesel,HR-10,2080000,2021,Tata,Safari
1.0 Lxi (o) cng,Manual,53118,1st Owner,CNG,HR-26,545000,2019,Maruti,New
LX PETROL HT 4WD AT,Automatic,8373,1st Owner,Petrol,DL-2C,1638000,2021,Mahindra,Thar
SIGMA PETROL 1.2,Manual,13066,1st Owner,Petrol,HR-29,632000,2021,Maruti,Baleno
1.0 Lxi (o) cng,Manual,20677,1st Owner,CNG,DL-6C,608000,2021,Maruti,New
1.0 Lxi (o) cng,Manual,92418,1st Owner,CNG,DL-12,537000,2019,Maruti,New
ZDI AMT,Automatic,87576,1st Owner,Diesel,HR-87,854000,2019,Maruti,Vitara
1.0 RXZ,Manual,18132,1st Owner,Petrol,DL-3C,766000,2021,Renault,TRIBER
SPORTZ 1.2 KAPPA VTVT CNG,Manual,26081,1st Owner,CNG,HR-26,719000,2021,Hyundai,GRAND
XZA PLUS PETROL,Automatic,7074,1st Owner,Petrol,DL-3C,1054000,2019,Tata,NEXON
SPORTZ CNG,Manual,63793,1st Owner,CNG,HR-26,552000,2019,Hyundai,NEW
VXI,Manual,69859,1st Owner,Petrol,DL-1C,406000,2014,Maruti,Swift
RXT Opt,Manual,26678,1st Owner,Petrol,HR-26,384000,2019,Renault,Kwid
1.5L I-VTEC V MT 4TH GEN,Manual,14215,1st Owner,Petrol,UP-14,1132000,2022,HONDA,CITY
VXI,Manual,8664,1st Owner,Petrol,DL-3C,361000,2021,Maruti,Alto
LXI CNG 1.0 L,Manual,62629,1st Owner,CNG,DL-8C,572000,2020,Maruti,New
RXT,Manual,16602,1st Owner,Petrol,UP-15,400000,2019,Renault,Kwid
LXI CNG 1.0 L,Manual,22185,1st Owner,CNG,DL-8C,598000,2021,Maruti,New
ASTA AT 1.2 KAPPA VTVT,Automatic,60308,2nd Owner,Petrol,HR-51,487000,2015,HYUNDAI,GRAND
XZ (O) 1.2 RTN,Manual,54207,1st Owner,Petrol,DL-11,731000,2020,Tata,ALTROZ
DELTA PETROL 1.2,Manual,10915,1st Owner,Petrol,HR-26,724000,2021,Maruti,Baleno
ALPHA AT SMART HYBRID,Automatic,23160,1st Owner,Petrol,HR-51,1121000,2020,Maruti,S
RXZ AMT,Automatic,4196,1st Owner,Petrol,DL-12,918000,2022,Renault,TRIBER
LXI,Manual,20810,2nd Owner,Petrol,DL-1C,582000,2020,Maruti,Swift
ASTA 1.2,Manual,33624,1st Owner,Petrol,UP-80,589000,2015,HYUNDAI,ELITE
LXI CNG 1.0 L,Manual,57715,1st Owner,CNG,HR-13,546000,2020,Maruti,New
ZETA PETROL 1.2,Manual,34496,1st Owner,Petrol,HR-29,650000,2019,Maruti,Baleno
LXI,Manual,10616,1st Owner,Petrol,DL-1C,551000,2019,Maruti,SWIFT
2WD MT PETROL,Manual,42864,1st Owner,Petrol,HR-26,1687000,2018,Hyundai,TUCSON
SPORTZ PETROL,Manual,21706,1st Owner,Petrol,HR-36,628000,2020,Hyundai,GRAND
ALPHA 1.5,Manual,5574,1st Owner,Petrol,UP-14,1165000,2020,Maruti,S
DELTA CVT PETROL 1.2,Automatic,20889,1st Owner,Petrol,HR-26,617000,2017,Maruti,Baleno
RXZ 1.0 MT,Manual,14272,1st Owner,Petrol,HR-51,822000,2021,Renault,Kiger
SPORTZ EXECUTIVE CNG,Manual,53039,1st Owner,CNG,DL-7C,581000,2021,Hyundai,NEW
SX 1.0 (O) TURBO,Manual,11936,1st Owner,Petrol,UP-32,1170000,2021,HYUNDAI,VENUE
LXI CNG 1.0 L,Manual,72103,1st Owner,CNG,HR-26,547000,2019,Maruti,New
LXI,Manual,61606,1st Owner,Petrol,DL-2C,280000,2016,Maruti,Alto
ZXI PLUS,Manual,10723,1st Owner,Petrol,UP-63,667000,2021,Maruti,Celerio
S MT PETROL,Manual,38002,1st Owner,Petrol,UP-14,536000,2013,HONDA,CITY
DELTA PETROL 1.2,Manual,10440,1st Owner,Petrol,HR-87,713000,2021,Maruti,Baleno
SPORTZ 1.2 KAPPA VTVT CNG,Manual,34714,1st Owner,CNG,HR-98,749000,2021,HYUNDAI,GRAND
VXI,Manual,46247,2nd Owner,Petrol,HR-26,376000,2014,Maruti,Swift
VXI PLUS,Manual,12642,1st Owner,Petrol,UP-14,405000,2020,Maruti,Alto
RXL,Manual,20053,1st Owner,Petrol,HR-30,360000,2019,Renault,Kwid
VXI,Manual,5239,1st Owner,Petrol,DL-2C,441000,2020,Maruti,S
SPORTZ CNG,Manual,68865,1st Owner,CNG,DL-3C,540000,2019,HYUNDAI,NEW
MAGNA AT 1.2 KAPPA VTVT,Automatic,32033,1st Owner,Petrol,DL-9C,668000,2019,HYUNDAI,GRAND
1.2 V CVT I VTEC,Automatic,45245,1st Owner,Petrol,HR-51,771000,2019,Honda,Amaze
DELTA PETROL 1.2,Manual,29984,1st Owner,Petrol,HR-51,610000,2018,Maruti,BALENO
ZXI,Manual,47073,1st Owner,Petrol,DL-8C,361000,2012,Maruti,Swift
1.2 S CVT I VTEC SPECIAL EDITION,Automatic,37158,1st Owner,Petrol,UP-16,789000,2020,Honda,Amaze
XZ 1.2,Manual,24268,1st Owner,Petrol,HR-26,758000,2020,TATA,ALTROZ
SPORTZ CNG MT,Manual,28955,1st Owner,CNG,UP-16,697000,2021,Hyundai,GRAND
ZXI,Manual,22536,1st Owner,Petrol,DL-2C,376000,2012,Maruti,SWIFT
LXI,Manual,51460,1st Owner,Petrol,HR-76,589000,2021,Maruti,SWIFT
ZXI OPT AMT,Automatic,29095,2nd Owner,Petrol,DL-8C,428000,2016,Maruti,CELERIO
MAGNA 1.2 KAPPA VTVT,Manual,40850,1st Owner,Petrol,HR-29,514000,2018,Hyundai,Grand
